trial,category,coverage,count,knn,ft,pre,fc,pc,own
shapenet1473,car,0.0,0.0,0.2584664644545512,-0.0234584510326385,-0.0264171659946441,0,0,watercraft
shapenet1474,car,-4.76870108995832,153.0,0.09536165757588334,0.1374678909778595,-0.0212944746017456,1,0,car
shapenet1475,car,0.0,0.0,0.9613875425145094,0.0564350485801696,0.0465022921562194,1,1,cabinet
shapenet1477,car,0.0,0.0,0.637677187432859,0.1667148470878601,0.1609391570091247,1,1,lamp
shapenet1478,car,0.0,0.0,0.3726538069888663,0.3719348460435867,0.2385966181755066,1,1,airplane
shapenet1479,car,-3.686286058340949,167.33333333333334,0.09281718839292864,0.1713159084320068,0.0612667202949523,1,1,car
shapenet1480,car,0.0,0.0,1.068639790942634,-0.0628957748413086,-0.0533498525619506,0,0,cabinet
shapenet1484,car,-1.598596848532247,6.666666666666667,0.42429035679362687,0.0103879570960998,-0.0063869357109069,1,0,telephone
shapenet1486,car,0.0,0.0,0.8532576992739996,0.0515640974044799,0.1304951906204223,0,1,table
shapenet1487,car,0.0,0.0,0.9742804776692827,0.0522223711013793,-0.0183818340301513,1,0,telephone
shapenet1489,car,0.0,0.0,0.9746905347010686,0.0713227987289428,-0.0345554053783416,1,0,loudspeaker
shapenet1491,car,0.0,0.0,0.745408759179301,0.1355856955051422,0.234607994556427,1,1,chair
shapenet1494,car,-1.4648163848908131,5.333333333333333,0.4829487258352099,0.0116713941097259,-0.089490532875061,1,0,bench
shapenet1495,car,0.0,0.0,0.9199099770104775,0.0455172955989837,0.1683225631713867,1,1,cabinet
shapenet2,chair,-0.46209812037329684,0.6666666666666666,0.496076332263853,0.1929726749658584,0.0241907835006713,1,1,loudspeaker
shapenet3,chair,-1.598596848532247,6.666666666666667,0.27386807947767294,0.0890822410583496,0.1602188944816589,1,1,bench
shapenet4,chair,0.0,0.0,0.23448975333760338,0.1405310034751892,0.2167392373085022,1,1,airplane
shapenet5,chair,0.0,0.0,0.660303493213667,0.0577162504196167,0.0364487171173095,1,0,sofa
shapenet6,chair,-1.3810449087971775,3.3333333333333335,0.19836783339417782,0.1227630376815795,0.0723785758018493,1,1,bench
shapenet10,chair,0.0,0.0,0.9097403614880015,-0.0674536228179931,-0.1119518280029296,0,0,display
shapenet11,chair,-2.5667650678067058,30.666666666666668,0.16887472485206753,0.0787230134010315,0.0410408675670623,1,1,watercraft
shapenet13,chair,0.0,0.0,0.34787007466768255,0.1458114385604858,0.0926105976104736,1,1,airplane
shapenet15,chair,0.0,0.0,0.8523888011800776,0.2256586700677871,0.089080661535263,1,1,cabinet
shapenet18,chair,0.0,0.0,0.5027848754171268,0.3269025385379791,0.1286601424217224,1,1,table
shapenet19,chair,0.0,0.0,0.5010228825136592,0.3105717599391937,0.0506073832511901,1,0,chair
shapenet20,chair,-3.7201946583947794,42.333333333333336,0.09562716716080004,0.0421221852302551,0.0637953877449035,1,1,bench
shapenet22,chair,-0.6931471805599453,2.3333333333333335,0.28662427061466944,0.3894515186548233,0.1911988854408264,1,1,chair
shapenet23,chair,0.0,0.0,0.4534734968171102,-0.1197607517242431,-0.0585803687572479,0,0,loudspeaker
shapenet24,chair,0.0,0.0,0.694585343867448,0.0590806603431701,0.0579293370246887,1,1,cabinet
shapenet25,chair,-0.46209812037329684,0.6666666666666666,0.34072450407906335,0.3724305182695389,0.2099210619926452,1,1,chair
shapenet26,chair,0.0,0.0,0.5619624357841175,-0.0438826382160186,-0.0800977349281311,0,0,watercraft
shapenet28,chair,0.0,0.0,0.2814509440362002,-0.0187355875968933,-0.0009410977363586,0,0,airplane
shapenet35,chair,0.0,0.0,0.6907467803787962,0.0435285568237304,0.0031989216804504,1,0,telephone
shapenet37,chair,0.0,0.0,0.7719661347411922,-0.1001697182655334,-0.0654328465461731,0,0,display
shapenet41,chair,0.0,0.0,0.8610992841950426,0.1316016912460327,-0.03516685962677,1,0,cabinet
shapenet42,chair,0.0,0.0,0.44335045524570593,0.0339112281799316,0.0765052437782287,1,1,loudspeaker
shapenet46,chair,-0.46209812037329684,0.6666666666666666,0.4677056190797817,0.0467429757118225,0.0792386829853057,0,1,table
shapenet49,chair,0.0,0.0,0.3384473092808151,0.0552499294281005,0.0554926395416259,1,1,airplane
shapenet50,chair,0.0,0.0,0.6244826857407612,0.0356532335281372,-0.00068199634552,1,0,display
shapenet53,chair,0.0,0.0,0.7394700242004731,0.0310088396072387,-0.0308929681777954,1,0,car
shapenet55,chair,0.0,0.0,0.8133585523036629,0.1914216876029968,0.0740576386451721,1,1,telephone
shapenet57,chair,0.0,0.0,0.35708912366229867,0.2639091908931732,0.3005216121673584,1,1,loudspeaker
shapenet62,chair,0.0,0.0,0.6290168155786123,-0.1061038672924041,-0.1298196613788604,0,0,loudspeaker
shapenet71,chair,0.0,0.0,0.27049387021135246,-0.0793259143829345,0.1618518531322479,0,1,airplane
shapenet72,chair,0.0,0.0,0.2772678483167795,0.146588921546936,0.1164968013763427,1,1,airplane
shapenet73,chair,0.0,0.0,0.25030626558349883,0.0331842899322509,-0.0672264099121093,1,0,watercraft
shapenet74,chair,0.0,0.0,0.40547850919547956,0.0230710357427597,-0.0312279760837554,0,0,chair
shapenet75,chair,0.0,0.0,0.3016714220883569,-0.0388605594635009,-0.0595597624778747,0,0,airplane
shapenet80,chair,0.0,0.0,0.7111964538987808,0.0518965721130371,0.0355584025382995,1,0,telephone
shapenet82,chair,-2.783476657846045,30.333333333333332,0.17019140371032992,0.1227716207504272,-0.0057975053787231,1,0,bench
shapenet83,chair,0.0,0.0,0.6270185221266437,-0.0192461609840393,-0.0697695016860961,0,0,cabinet
shapenet86,chair,-2.4917797455222455,27.333333333333332,0.15628714999538726,0.302525907754898,-0.010015457868576,1,0,bench
shapenet87,chair,0.0,0.0,0.26755319877159267,0.0345875322818756,0.0677871406078338,0,1,airplane
shapenet90,chair,-2.5617478693252775,15.666666666666666,0.13493179504247532,0.0723749697208404,0.1438702940940857,1,1,bench
shapenet91,chair,0.0,0.0,0.5177018970136781,-0.0907298326492309,-0.1352855563163757,0,0,loudspeaker
shapenet97,chair,0.0,0.0,0.8343879718597563,-0.0666063427925109,-0.0528821349143981,0,0,car
shapenet101,chair,-1.4648163848908131,5.333333333333333,0.25547714275862843,0.1862934231758117,0.1374700367450714,1,1,bench
shapenet102,chair,-0.6486367163517711,2.0,0.4776800206432563,0.1263450123369693,0.1193779408931732,1,1,bench
shapenet103,chair,0.0,0.0,0.3859723197558316,0.0425010919570922,0.027547538280487,1,1,airplane
shapenet104,chair,0.0,0.0,0.2642998320226653,0.0406417846679687,0.0419152379035949,0,1,airplane
shapenet107,chair,0.0,0.0,0.792852333659659,-0.0684804618358612,-0.0259132087230682,0,0,car
shapenet110,chair,0.0,0.0,0.29070725334700975,0.0860909819602966,0.0757603645324707,1,1,watercraft
shapenet112,chair,0.0,0.0,0.7018799837225829,0.0657075047492981,0.0573135018348693,1,1,cabinet
shapenet115,chair,0.0,0.0,0.8732315190455283,0.0768787860870361,0.0159212350845336,1,0,display
shapenet116,chair,0.0,0.0,0.75606852842143,-0.0457152128219604,0.0146422386169433,0,0,car
shapenet118,chair,-0.7324081924454066,1.3333333333333333,0.2916622144142163,0.3513893205672502,0.0405457317829132,1,0,chair
shapenet119,chair,0.0,0.0,0.43717424228333446,0.0731227993965148,-0.06917405128479,1,0,chair
shapenet120,chair,-2.7228288057088936,27.666666666666668,0.1379348251001242,0.0804787874221801,0.0732601284980773,1,1,bench
shapenet123,chair,0.0,0.0,0.4775040574813462,0.1425256729125976,0.0454006791114807,1,1,telephone
shapenet124,chair,0.0,0.0,0.8224053199629834,-0.0646155476570129,-0.0428165197372436,0,0,car
shapenet125,chair,0.0,0.0,0.4180478012273376,0.1224824786186218,0.0512470602989196,1,0,sofa
shapenet126,chair,-3.582775082112169,37.0,0.10204921952690847,0.1348596811294555,-0.0086700320243835,1,0,chair
shapenet128,chair,0.0,0.0,0.30725361406260904,0.2171994596719741,0.0334146916866302,1,1,lamp
shapenet129,chair,-3.8025216497708008,47.333333333333336,0.09036457972095002,-0.0130763053894042,-0.0149354636669158,0,0,watercraft
shapenet133,chair,0.0,0.0,0.24025730003475046,0.0556219816207885,-0.0082961320877075,1,0,lamp
shapenet134,chair,0.0,0.0,0.6760383322007927,0.1818137764930725,0.0987787246704101,1,1,loudspeaker
shapenet136,chair,0.0,0.0,0.6509068081650228,0.0986334085464477,-0.004727303981781,1,0,watercraft
shapenet142,chair,-2.6766946980891877,21.333333333333332,0.1436827578413039,0.2041532695293426,0.2693129777908325,1,1,bench
shapenet144,chair,0.0,0.0,0.6892698266646263,0.1674002408981323,0.0823929905891418,1,1,cabinet
shapenet148,chair,0.0,0.0,0.6083020501648555,0.0976676940917968,0.0157907009124755,1,0,watercraft
shapenet151,chair,0.0,0.0,0.47150739773705524,0.0940980315208435,0.0378164649009704,1,1,loudspeaker
shapenet152,chair,0.0,0.0,0.7214970610122301,0.1139817833900451,0.0681538879871368,1,1,watercraft
shapenet153,chair,0.0,0.0,0.8331665858424221,0.0085054636001586,-0.0997340083122253,1,0,cabinet
shapenet154,chair,0.0,0.0,0.7908874429676606,0.0450788140296936,0.0678203701972961,0,1,car
shapenet156,chair,0.0,0.0,0.350858091915365,0.0170221030712127,0.1605275571346283,0,1,airplane
shapenet157,chair,0.0,0.0,0.7135865585431698,0.1772008538246154,0.1102774143218994,1,1,loudspeaker
shapenet160,chair,0.0,0.0,0.6834847243413219,0.0048482567071914,-0.0514995455741882,0,0,table
